Report Date,General Location,latitude,longitude,Nature,Disposition
1/4/2023,"S Randolphville Rd, Piscataway, NJ 08854",40.5452498,-74.4590408,Traffic Violations,Closed
1/9/2023,"Northern Blvd & Grand Central Pkwy, Berkeley Township, NJ 08721",39.902782,-74.2073488,Drug-Related Offenses,Open/Pending
1/11/2023,"New Brunswick, NJ 08901",40.4861552,-74.45185,Drug-Related Offenses,Open/Pending
1/16/2023,"Bartlett St & Easton Ave, New Brunswick, NJ 08901",40.5000957,-74.4546514,Shooting,Closed
1/16/2024,"JOHNSON AND JOHNSON WHQ, Rutgers University, NJ",40.4979551,-74.4430644,Weapons Offenses,Closed
1/18/2024,"LOREE GYMNASIUM, Rutgers University, NJ",40.4832823,-74.4352698,Vandalism,Closed
1/18/2024,"ALEXANDER LIBRARY, Rutgers University, NJ",40.5049845,-74.4524606,Theft,Closed
1/19/2023,"South Plainfield, New Jersey 07080",40.56829,-74.4173877,Assault,Closed
1/19/2024,"CHABAD HOUSE, Rutgers University, NJ",40.0583238,-74.4056612,Theft,Closed
1/19/2024,"MINE ST - NEW BRUNSWICK, Rutgers University, NJ",40.5008405,-74.4474174,DUI/DWI Offenses,Closed
1/19/2024,"HICKMAN HALL, Rutgers University, NJ",40.4847582,-74.4341927,Burglary,Closed
1/19/2024,"LOT 712, Rutgers University, NJ",40.0583238,-74.4056612,Assault,Closed
1/20/2024,"APARTMENTS 145- 160, Rutgers University, NJ",40.0583238,-74.4056612,Theft,Closed
1/20/2024,"NICHOLS APARTMENTS 1- 24, Rutgers University, NJ",40.5276939,-74.4674157,Sexual Assault,Closed
1/20/2024,"CHABAD HOUSE, Rutgers University, NJ",40.0583238,-74.4056612,Fraud/Identity Theft,Closed
1/20/2024,"HICKMAN HALL, Rutgers University, NJ",40.4847582,-74.4341927,Vandalism,Closed
1/21/2024,"HICKMAN HALL, Rutgers University, NJ",40.4847582,-74.4341927,Vandalism,Closed
1/22/2024,"NEWELL APARTMENTS 45- 56, Rutgers University, NJ",40.4775045,-74.4298463,Vandalism,Closed
1/22/2024,"NEWELL APARTMENTS 45- 56, Rutgers University, NJ",40.4775045,-74.4298463,Burglary,Closed
1/22/2024,"CIVIC SQUARE AND PARKING DECK, New Brunswick, NJ",40.4862157,-74.4518188,Theft,Closed
1/22/2024,"DEMAREST HALL, Rutgers University, NJ",40.5035099,-74.4503399,Theft,Closed
1/23/2024,"HICKMAN HALL, Rutgers University, NJ",40.4847582,-74.4341927,Vandalism,Closed
1/23/2024,"46 Biel Rd, New Brunswick, NJ 08901",40.4785311,-74.4297889,Theft,Closed
1/23/2024,"COLLEGE AVE GYM, Rutgers University, NJ",40.5032076,-74.4527639,Theft,Closed
1/24/2024,"LOT 12, Rutgers University, NJ",40.0583238,-74.4056612,Vandalism,Closed
1/25/2024,"METTLER HALL, New Brunswick, NJ",40.5028197,-74.4506759,Sexual Assault,Closed
1/25/2024,"LOT 9, New Brunswick, NJ",40.5026914,-74.3699694,Vandalism,Closed
1/25/2024,"HICKMAN HALL, Rutgers University, NJ",40.4847582,-74.4341927,Vandalism,Closed
1/26/2024,"LOT 26, New Brunswick, NJ",40.5018387,-74.4526543,DUI/DWI Offenses,Closed
1/26/2024,"LYNTON TOWERS SOUTH, New Brunswick, NJ",40.52297,-74.4361244,Vandalism,Closed
1/26/2024,"100 BLOCK OF RYDERS LN, New Brunswick, NJ",40.4689156,-74.4268799,Theft,Closed
1/28/2024,"RUTGERS ECOLOGICAL PRESERVE, New Brunswick, NJ",40.5173865,-74.4406061,Harassment,Closed
1/28/2024,"00 BLOCK OF GEORGE ST, New Brunswick, NJ",40.4845796,-74.4326312,Vandalism,Closed
1/29/2024,"00 BLOCK OF JOYCE KILMER AVE, New Brunswick, NJ",40.4928088,-74.4476353,Trespassing,Closed
1/29/2024,"NEW GIBBONS, New Brunswick, NJ",40.4853749,-74.4317951,Theft,Open/Pending
1/29/2024,"00 BLOCK OF JOYCE KILMER AVE, New Brunswick, NJ",40.4928088,-74.4476353,Arrests,Open/Pending
1/30/2023,"South Plainfield, New Jersey 07080",40.56829,-74.4173877,Homicide,Open/Pending
1/30/2024,"300 BLOCK OF GEORGE ST, New Brunswick, NJ",40.4923045,-74.4432881,Theft,Open/Pending
1/30/2024,"LIVINGSTON RECREATION CENTER, New Brunswick, NJ",40.5210745,-74.4308334,Theft,Open/Pending
1/30/2024,"COLLEGE AVE, New Brunswick, NJ",40.5022598,-74.4509275,Theft,Open/Pending
1/30/2024,"600 BLOCK OF GEORGE ST, New Brunswick, NJ",40.503425,-74.4489075,Theft,Open/Pending
1/30/2024,"00 BLOCK OF JOYCE KILMER AVE, New Brunswick, NJ",40.4928088,-74.4476353,Theft,Open/Pending
1/30/2024,"300 BLOCK OF GEORGE ST, New Brunswick, NJ",40.4923045,-74.4432881,Assault,Open/Pending
1/30/2024,"300 BLOCK OF GEORGE ST, New Brunswick, NJ",40.4923045,-74.4432881,Harassment,Open/Pending
1/31/2024,"DEINER PARK, New Brunswick, NJ",40.5051372,-74.4495401,Vandalism,Open/Pending
2/1/2024,Hickman Hall,40.4847582,-74.4341927,Weapons Offenses,Open/Pending
2/1/2024,Deiner Park,40.5051372,-74.4495401,Vandalism,Open/Pending
2/1/2024,"JOYCE KILMER AVE, New Brunswick, NJ",40.4807263,-74.4603003,Theft,Open/Pending
2/1/2024,"HICKMAN HALL, New Brunswick, NJ",40.4847582,-74.4341927,Theft,Open/Pending
2/1/2024,"BUSCH CAMPUS CENTER, New Brunswick, NJ",40.5233281,-74.4582821,Theft,Open/Pending
2/1/2024,"COLLEGE AVE GYM, New Brunswick, NJ",40.5032076,-74.4527639,Theft,Open/Pending
2/1/2024,"HICKMAN HALL, New Brunswick, NJ",40.4847582,-74.4341927,Weapons Offenses,Open/Pending
2/2/2024,LIVINGSTON RECREATION CENTER,40.5210745,-74.4308334,Theft,Open/Pending
2/2/2024,EVA & ARIE HALPERN HILLEL HOUSE,40.5004617,-74.4493954,Arrests,Open/Pending
2/2/2024,EVA & ARIE HALPERN HILLEL HOUSE,40.5004617,-74.4493954,Trespassing,Open/Pending
2/2/2024,"85-99 JOHNSON DR / 0-0 STATE HWY 18 S, New Brunswick, NJ",40.4824684,-74.4151962,DUI/DWI Offenses,Open/Pending
2/2/2024,"CAMPBELL HALL, New Brunswick, NJ",40.5054739,-74.451143,Harassment,Open/Pending
2/3/2023,"Highland Ave, Highland Park, NJ",40.5071606,-74.4190883,Burglary,Open/Pending
2/3/2024,"HEADLEE RESEARCH LABORATORIES, New Brunswick, NJ",40.4796122,-74.4438731,Trespassing,Open/Pending
2/3/2024,COLLEGE AVE GYM,40.5032076,-74.4527639,Theft,Open/Pending
2/3/2024,"T. ALEXANDER POND SCIENCE & ENGINEERING RESOURCE CENTER, New Brunswick, NJ",40.5227386,-74.4626834,Theft,Open/Pending
2/3/2024,"EASTON AVENUE PARKING DECK, New Brunswick, NJ",40.5031558,-74.4624627,Trespassing,Open/Pending
2/3/2024,COLLEGE AVE GYM,40.5032076,-74.4527639,Fraud/Identity Theft,Open/Pending
2/3/2024,"EASTON AVENUE PARKING DECK, New Brunswick, NJ",40.5031558,-74.4624627,Legal Process Offenses,Open/Pending
2/3/2024,"EASTON AVENUE PARKING DECK, New Brunswick, NJ",40.5031558,-74.4624627,Trespassing,Open/Pending
2/3/2024,Mettler Hall,40.5028197,-74.4506759,Trespassing,Open/Pending
2/3/2024,"HEADLEE RESEARCH LABORATORIES(CP N), New Brunswick, NJ",40.4796122,-74.4438731,Trespassing,Open/Pending
2/3/2024,"METTLER HALL, New Brunswick, NJ",40.5028197,-74.4506759,Trespassing,Open/Pending
2/4/2024,"EXXON GAS STATION; COMMERCIAL AVE, New Brunswick, NJ",40.4834898,-74.4438332,Fraud/Identity Theft,Open/Pending
2/4/2024,"EXXON GAS STATION; COMMERCIAL AVE, New Brunswick, NJ",40.4834898,-74.4438332,Arrests,Open/Pending
2/4/2024,"LOT 9, New Brunswick, NJ",40.5026914,-74.3699694,Vandalism,Open/Pending
2/4/2024,"LOT 9, New Brunswick, NJ",40.5026914,-74.3699694,Vandalism,Open/Pending
2/4/2024,"100 BLOCK OF GEORGE ST, New Brunswick, NJ",40.4847279,-74.4366266,Arrests,Open/Pending
2/5/2024,"LOT 9, New Brunswick, NJ",40.5026914,-74.3699694,Vandalism,Open/Pending
2/5/2024,Joyce Kilmer AVE - Piscataway Township,40.5235944,-74.4348189,Theft,Open/Pending
2/5/2024,BROWER COMMONS,40.5037063,-74.4515895,Harassment,Open/Pending
2/6/2024,"LOT 54, New Brunswick, NJ",40.5258021,-74.4615385,Vandalism,Open/Pending
2/6/2024,"LOT 9, New Brunswick, NJ",40.5026914,-74.3699694,Vandalism,Open/Pending
2/6/2024,"LOT 54, New Brunswick, NJ",40.5258021,-74.4615385,Vandalism,Open/Pending
2/6/2024,"NICHOLAS RESIDENCE HALL, New Brunswick, NJ",40.4810542,-74.4322543,Theft,Open/Pending
2/6/2024,NICHOLAS RESIDENCE HALL,40.4810542,-74.4322543,Theft,Open/Pending
2/6/2024,"METZGER RESIDENCE HALL, New Brunswick, NJ",40.5210538,-74.4550839,Assault,Open/Pending
2/6/2024,"58-608 STATE HWY 18 S AND 0-0 CAMPUS RD, New Brunswick, NJ",40.4112899,-74.3644403,Arrests,Open/Pending
2/6/2024,"METZGER RESIDENCE HALL, New Brunswick, NJ",40.5210538,-74.4550839,Harassment,Open/Pending
2/7/2024,"58-608 STATE HWY 18 S / 0-0 CAMPUS RD, New Brunswick, NJ",40.4829761,-74.4164451,Arrests,Open/Pending
2/7/2024,BUSCH CAMPUS CENTER,40.5233281,-74.4582821,Theft,Open/Pending
2/7/2024,"58-608 STATE HWY 18 S / 0-0 CAMPUS RD, New Brunswick, NJ",40.4829761,-74.4164451,Fraud/Identity Theft,Open/Pending
2/7/2024,"CLUB HOUSE, New Brunswick, NJ",40.5253838,-74.4101274,Vandalism,Closed
2/7/2024,EVA & ARIE HALPERN HILLEL HOUSE,40.5004617,-74.4493954,Harassment,Open/Pending
2/7/2024,Metzger Residence Hall,40.5210538,-74.4550839,Harassment,Open/Pending
2/7/2024,"58-608 STATE HWY 18 S / 0-0 CAMPUS RD, New Brunswick, NJ",40.4829761,-74.4164451,Weapons Offenses,Open/Pending
2/7/2024,"CLUB HOUSE, New Brunswick, NJ",40.5253838,-74.4101274,Vandalism,Open/Pending
2/7/2024,"EVA AND ARIE HALPERN HILLEL HOUSE, New Brunswick, NJ",40.5004617,-74.4493954,Harassment,Open/Pending
2/7/2024,"FRELINGHUYSEN RD, New Brunswick, NJ",40.5229004,-74.4670303,Theft,Closed
2/7/2024,"LOT 66A, New Brunswick, NJ",40.5211816,-74.4555852,Theft,Closed
2/7/2024,Metzger Residence Hall,40.5210538,-74.4550839,Assault,Open/Pending
2/7/2024,Metzger Residence Hall,40.5210538,-74.4550839,Trespassing,Open/Pending
2/8/2024,55-100 DUDLEY RD / 1-4 COLLEGE FARM RD,40.4777929,-74.4368679,DUI/DWI Offenses,Open/Pending
2/8/2024,HILL CENTER BUS STOP,40.5219565,-74.4632069,Theft,Open/Pending
2/8/2024,"LOT 66A, New Brunswick, NJ",40.5211816,-74.4555852,Theft,Open/Pending
2/8/2024,ALLISON ROAD CLASSROOM ARC BUILDING,40.5238677,-74.4650692,Theft,Open/Pending
2/8/2024,"LOT 9, New Brunswick, NJ",40.5026914,-74.3699694,Theft,Open/Pending
2/8/2024,"HILL CENTER BUS STOP, New Brunswick, NJ",40.5219565,-74.4632069,Theft,Open/Pending
2/8/2024,"109 Church St, New Brunswick, NJ 08901",40.4961597,-74.4438154,Drug-Related Offenses,Open/Pending
2/8/2024,"LOT 9, New Brunswick, NJ",40.5026914,-74.3699694,Theft,Open/Pending
2/8/2024,"CROSBY RESIDENCE HALL, New Brunswick, NJ",40.5258809,-74.4595694,Vandalism,Open/Pending
2/8/2024,"CROSBY RESIDENCE HALL, New Brunswick, NJ",40.5258809,-74.4595694,Theft,Open/Pending
2/8/2024,"55-100 DUDLEY RD, New Brunswick, NJ",40.479983,-74.4340921,DUI/DWI Offenses,Open/Pending
2/9/2023,"150 Forest Glen Dr, Highland Park, NJ 08904",40.5082483,-74.4369962,Arson,Closed
2/9/2024,TILLETT HALL,40.5218933,-74.4359897,Fraud/Identity Theft,Closed
2/9/2024,TILLETT HALL,40.5218933,-74.4359897,Arrests,Closed
2/10/2024,BARR RESIDENCE HALL,40.5220615,-74.4537992,Trespassing,Closed
2/10/2024,0-0 STATE HWY 18 LOC S / 8-10 TABERNACLE WAY,40.4906703,-74.4402482,DUI/DWI Offenses,Closed
2/10/2024,"BARR RESIDENCE HALL, New Brunswick, NJ",40.5220615,-74.4537992,Trespassing,Closed
2/10/2024,"WOODHAVEN DR, New Brunswick, NJ",40.5155241,-74.4000718,Theft,Closed
2/10/2024,"0-0 STATE HWY 18 LOC S AND 8-10 TABERNACLE WAY, New Brunswick, NJ",40.4912137,-74.4387876,DUI/DWI Offenses,Closed
2/11/2024,"0-1 STATE HWY 18 N / 0-0 CAMPUS RD, New Brunswick, NJ",40.4824684,-74.4151962,DUI/DWI Offenses,Closed
2/11/2024,Frelinghuysen RD - Piscataway Township,40.5229004,-74.4670303,Theft,Closed
2/11/2024,"0-1 STATE HWY 18 N AND 0-0 CAMPUS RD, New Brunswick, NJ",40.400089,-74.3497143,DUI/DWI Offenses,Closed
2/12/2024,"ARC, New Brunswick, NJ",40.4862157,-74.4518188,Vandalism,Closed
2/12/2024,Crosby Residence Hall,40.5258809,-74.4595694,Vandalism,Closed
2/12/2024,"LIVINGSTON HOUSING BUILDING B, New Brunswick, NJ",40.4862157,-74.4518188,Theft,Closed
2/12/2024,"LOT 62, New Brunswick, NJ",40.4862157,-74.4518188,Vandalism,Closed
2/12/2024,"ARC, New Brunswick, NJ",40.4862157,-74.4518188,Theft,Closed
2/12/2024,Crosby Residence Hall,40.5258809,-74.4595694,Theft,Closed
2/13/2024,"INDOOR PRACTICE & CONDITIONING FACILITY, New Brunswick, NJ",40.4862157,-74.4518188,Fire Emergency and Hazard Incidents,Closed
2/13/2024,"INDOOR PRACTICE & CONDITIONING FACILITY, New Brunswick, NJ",40.4862157,-74.4518188,Property Crimes,Closed
2/13/2024,"INDOOR PRACTICE AND CONDITIONING FACILITY, New Brunswick, NJ",40.5155599,-74.4655056,Property Crimes,Closed
2/14/2023,"French St &, Albany St, New Brunswick, NJ 08901",40.4963572,-74.446167,Assault,Closed
2/14/2024,HILL CENTER BUS STOP,40.5219565,-74.4632069,Theft,Closed
2/14/2024,HARDENBERGH HALL,40.5047417,-74.4497691,Vandalism,Closed
2/14/2024,"LIVINGSTON HOUSING BUILDING B, New Brunswick, NJ",40.4862157,-74.4518188,Theft,Closed
2/14/2024,"LIVINGSTON QUAD 1 - BLDG 3 (H16- H17), New Brunswick, NJ",40.5203204,-74.4359105,Theft,Closed
2/14/2024,ADMINISTRATIVE SERVICES BUILDING ASB 2,40.5234821,-74.4556185,Vandalism,Closed
2/14/2024,"HILL CENTER BUS STOP, New Brunswick, NJ",40.5219565,-74.4632069,Theft,Closed
2/14/2024,"LIVINGSTON HOUSING BUILDING, New Brunswick, NJ",40.4778719,-74.4601711,Theft,Closed
2/14/2024,"LIVINGSTON QUAD 1 - BLDG, New Brunswick, NJ",40.5203204,-74.4359105,Theft,Closed
2/15/2024,LOREE CLASSROOM/OFFIC E BUILDING,40.4832823,-74.4352698,Vandalism,Closed
2/15/2024,"SILVERS APARTMENTS 165- 180, New Brunswick, NJ",40.5194536,-74.4550312,Theft,Closed
2/15/2024,"LYNTON TOWERS SOUTH, New Brunswick, NJ",40.52297,-74.4361244,Theft,Closed
2/16/2024,LYNTON TOWERS NORTH,40.5231779,-74.4353884,Burglary,Closed
2/16/2024,"COLLEGE AVENUE, New Brunswick, NJ",40.5022598,-74.4509275,Vandalism,Closed
2/16/2024,"CLOTHIER HALL- RES LIFE OFC, New Brunswick, NJ",40.5033242,-74.4484736,Vandalism,Closed
2/16/2024,"CLOTHIER HALL- RES LIFE OFC, New Brunswick, NJ",40.5033242,-74.4484736,Fraud/Identity Theft,Closed
2/16/2024,"RUTGERS CINEMA, New Brunswick, NJ",40.5253879,-74.4374739,Theft,Closed
2/17/2024,"LOT 711, New Brunswick, NJ",40.4862157,-74.4518188,Burglary,Closed
2/18/2024,JONES AVE - New Brunswick,40.482919,-74.4420141,Sexual Assault,Closed
2/18/2024,JONES AVE - New Brunswick,40.482919,-74.4420141,Assault,Closed
2/18/2024,"MCCORMICK RESIDENCE HALL - HI-RISE, New Brunswick, NJ",40.4862157,-74.4518188,Theft,Closed
2/19/2024,"CHANDLER HEALTH, New Brunswick, NJ",40.4916432,-74.4426877,Harassment,Closed
2/19/2024,"GREEN LOT, New Brunswick, NJ",40.5262744,-74.4401841,Vandalism,Closed
2/19/2024,"CHANDLER HEALTH, New Brunswick, NJ",40.4916432,-74.4426877,Theft,Closed
2/20/2024,NICHOLAS RESIDENCE HALL,40.4810542,-74.4322543,Theft,Closed
2/20/2024,"GREEN LOT, New Brunswick, NJ",40.5262744,-74.4401841,Vandalism,Closed
2/20/2024,COLLEGE AVE GYM,40.5032076,-74.4527639,Fire Emergency and Hazard Incidents,Closed
2/20/2024,WOODHAVEN DR - Edison,40.5155241,-74.4000718,Theft,Closed
2/20/2024,"NICHOLASRESIDENCEHALL, New Brunswick, NJ",40.4810542,-74.4322543,Theft,Closed
2/20/2024,"HENDERSON APARTMENTS 25- 48, New Brunswick, NJ",40.4814473,-74.4272675,Burglary,Closed
2/20/2024,"ALEXANDER LIBRARY, New Brunswick, NJ",40.5049845,-74.4524606,Vandalism,Closed
2/21/2023,"Easton Ave, New Brunswick, NJ 08901",40.5031558,-74.4624627,Sexual Assault,Closed
2/21/2024,"EL JEFE TAQUERIA, New Brunswick, NJ",40.4990092,-74.4484101,Theft,Closed
2/21/2024,"TILLETT HALL, New Brunswick, NJ",40.5218933,-74.4359897,Theft,Closed
2/21/2024,HENDERSON APARTMENTS 25- 48,40.4814473,-74.4272675,Burglary,Closed
2/22/2024,"1-4 COLLEGE FARM RD AND 55-100 DUDLEY, New Brunswick, NJ",40.479983,-74.4340921,Theft,Closed
2/24/2024,"PUBLIC SAFETY BUILDING RUPD, New Brunswick, NJ",40.4879044,-74.4397356,Theft,Closed
2/24/2024,Judson Residence Hall,40.5255883,-74.4589315,Theft,Closed
2/24/2024,"JUDSON RESIDENCE HALL, New Brunswick, NJ",40.5255883,-74.4589315,Theft,Closed
2/24/2024,"LYNTON TOWERS SOUTH, New Brunswick, NJ",40.52297,-74.4361244,Theft,Closed
2/24/2024,"PUBLIC SAFETY BUILDING RUPD; P30, New Brunswick, NJ",40.4879044,-74.4397356,Theft,Closed
2/25/2024,Hickman Hall,40.4847582,-74.4341927,Theft,Closed
2/25/2024,"LOT 79, New Brunswick, NJ",40.4842863,-74.4334189,Arrests,Closed
2/25/2024,Hickman Hall,40.4847582,-74.4341927,Fraud/Identity Theft,Closed
2/25/2024,LYNTON TOWERS SOUTH,40.52297,-74.4361244,Theft,Closed
2/25/2024,"LOT 79, New Brunswick, NJ",40.4842863,-74.4334189,Arrests,Closed
2/26/2024,"WORLD'S FAIR DRIVE, New Brunswick, NJ",40.5330684,-74.5155201,Theft,Closed
2/26/2024,"SCHOOL OF PUBLIC HEALTH-LOADING DOCK, New Brunswick, NJ",40.5235161,-74.4708964,Harassment,Closed
2/26/2024,"WORLDS FAIR DRIVE, New Brunswick, NJ",40.5330684,-74.5155201,Theft,Closed
2/26/2024,"LIVINGSTON HOUSING BUILDING B, New Brunswick, NJ",40.4862157,-74.4518188,Harassment,Closed
2/26/2024,"SCHOOL OF PUBLIC HEALTH-LOADING DOCK, New Brunswick, NJ",40.5235161,-74.4708964,Harassment,Closed
2/26/2024,"SCHOOL OF PUBLIC HEALTH-LOADING DOCK, New Brunswick, NJ",40.5235161,-74.4708964,Vandalism,Closed
2/26/2024,TILLETT HALL,40.5218933,-74.4359897,Theft,Closed
2/27/2024,197-213 HAMILTON ST / 1-56 HIGH ST,40.4896119,-74.47765,DUI/DWI Offenses,Closed
2/27/2024,WALLER HALL (SHORT COURSE BUILDING),40.4832537,-74.4378861,Theft,Closed
2/27/2024,"1-98 JOHNSON DR / 450-499 GEORGE ST, New Brunswick, NJ",40.4944023,-74.4437467,Legal Process Offenses,Closed
2/27/2024,"RUTGERS CINEMA; SUITE 10, New Brunswick, NJ",40.5253879,-74.4374739,Theft,Closed
2/27/2024,LYNTON TOWERS NORTH / SOUTH,40.5231779,-74.4353884,Theft,Closed
2/27/2024,"LYNTON TOWERS NORTH AND SOUTH, New Brunswick, NJ",40.4723568,-74.4183191,Theft,Closed
2/27/2024,"LIVINGSTON RECREATION CENTER, New Brunswick, NJ",40.5210745,-74.4308334,Theft,Closed
2/27/2024,"197-213 HAMILTON ST AND 1-56 HIGH ST, New Brunswick, NJ",40.4952288,-74.4516294,DUI/DWI Offenses,Closed
2/27/2024,"WALLER HALL, New Brunswick, NJ",40.4832676,-74.4379231,Theft,Closed
2/28/2023,"Joyce Kilmer Ave & Delavan St, New Brunswick, NJ 08901",40.4871726,-74.4535153,Shooting,Closed
2/28/2024,"LOT 99D, New Brunswick, NJ",40.4862157,-74.4518188,Vandalism,Closed
2/28/2024,"LIVINGSTON HOUSING BUILDING B, New Brunswick, NJ",40.4862157,-74.4518188,Harassment,Closed
2/28/2024,"LOT 99D, New Brunswick, NJ",40.4862157,-74.4518188,Burglary,Closed
2/28/2024,WALLER HALL (SHORT COURSE BUILDING),40.4832537,-74.4378861,Theft,Closed
2/29/2024,"LIVINGSTON RECREATION CENTER, New Brunswick, NJ",40.5210745,-74.4308334,Theft,Closed
2/29/2024,"00 BLOCK OF LANDING LANE APARTMENTS, New Brunswick, NJ",40.5076752,-74.4640491,Arrests,Closed
2/29/2024,"Little Albany St, New Brunswick, NJ 08901",40.4961231,-74.4481082,Shooting,Closed
2/29/2024,"180 Jones Ave, New Brunswick, NJ 08901",40.4796122,-74.4438731,Arson,Closed
2/29/2024,LIVINGSTON RECREATION CENTER,40.5210745,-74.4308334,Theft,Closed
2/29/2024,10 LANDING LANE APARTMENTS,40.5065993,-74.4644235,Arrests,Closed
3/1/2024,Dr Ruth M. Adams Building,40.4874177,-74.437382,Vandalism,Closed
3/1/2024,"JONES AVE, New Brunswick, NJ",40.482919,-74.4420141,Assault,Closed
3/1/2024,"EASTON AVENUE PARKING DECK, New Brunswick, NJ",40.5031558,-74.4624627,Theft,Closed
3/1/2024,"BEST EAST RESIDENCE HALL, New Brunswick, NJ",40.4862157,-74.4518188,Vandalism,Closed
3/1/2024,"JONES AVE - NEW, New Brunswick, NJ",40.482919,-74.4420141,Sexual Assault,Closed
3/1/2024,"DR RUTH M ADAMS BUILDING, New Brunswick, NJ",40.4874177,-74.437382,Vandalism,Closed
3/2/2023,"Piscataway, New Jersey 08854",40.554887,-74.4642861,Theft,Closed
3/2/2024,"BEST EAST RESIDENCE HALL, New Brunswick, NJ",40.4862157,-74.4518188,Vandalism,Closed
3/3/2024,"CHI PHI FRATERNITY, New Brunswick, NJ",40.5018005,-74.4499439,Arrests,Closed
3/3/2024,"CHI PHI FRATERNITY, New Brunswick, NJ",40.5018005,-74.4499439,Legal Process Offenses,Closed
3/3/2024,"CHI PHI FRATERNITY, New Brunswick, NJ",40.5018005,-74.4499439,Trespassing,Closed
3/3/2024,"CHI PHI FRATERNITY, New Brunswick, NJ",40.5018005,-74.4499439,Arrests,Closed
3/3/2024,"CHI PHI FRATERNITY, New Brunswick, NJ",40.5018005,-74.4499439,Fraud/Identity Theft,Closed
3/3/2024,Davidson Residence Hall B,40.5270552,-74.4577599,Burglary,Closed
3/3/2024,"EASTON AVENUE PARKING DECK, New Brunswick, NJ",40.5031558,-74.4624627,Theft,Closed
3/3/2024,"DAVIDSON RESIDENCE HALL B, New Brunswick, NJ",40.5270552,-74.4577599,Burglary,Closed
3/3/2024,"CHI PHI FRATERNITY, New Brunswick, NJ",40.5018005,-74.4499439,Trespassing,Closed
3/4/2024,"LOT 73, New Brunswick, NJ",40.4862157,-74.4518188,Vandalism,Closed
3/4/2024,RUTGERS DAY SCHOOL,40.5255604,-74.470223,Assault,Closed
3/4/2024,"LOT 73, New Brunswick, NJ",40.4862157,-74.4518188,Public Order Crimes,Closed
3/4/2024,College AVE - New Brunswick,40.5022598,-74.4509275,Harassment,Closed
3/4/2024,"LOT 12, New Brunswick, NJ",40.506685,-74.3692399,Vandalism,Closed
